ID,Hardness,Mg(wt%),Si(wt%),Cu(wt%),Mn(wt%),Cr(wt%),Zn(wt%),Ti(wt%),Fe(wt%),Al(wt%)
1,56,0.8,0.5,0.15,0.04,0.04,0.04,0.04,0.1,98.29
2,62,0.8,0.6,0.25,0.08,0.15,0.11,0.08,0.3,97.63
3,50,0.8,0.7,0.35,0.12,0.25,0.18,0.12,0.5,96.98
4,54,0.8,0.8,0.4,0.15,0.35,0.25,0.15,0.7,96.4
5,63,0.93,0.5,0.15,0.08,0.15,0.18,0.12,0.7,97.19
6,69,0.93,0.6,0.25,0.04,0.04,0.25,0.15,0.5,97.24
7,90,0.93,0.7,0.35,0.15,0.35,0.04,0.04,0.3,97.14
8,89,0.93,0.8,0.4,0.12,0.25,0.11,0.08,0.1,97.21
9,78,1.07,0.5,0.25,0.12,0.35,0.04,0.08,0.5,97.09
10,67,1.07,0.6,0.15,0.15,0.25,0.11,0.04,0.7,96.93
11,63,1.07,0.7,0.4,0.04,0.15,0.18,0.15,0.1,97.21
12,72,1.07,0.8,0.35,0.08,0.04,0.25,0.12,0.3,96.99
13,72,1.2,0.5,0.25,0.15,0.25,0.18,0.15,0.3,97.02
14,56,1.2,0.6,0.15,0.12,0.35,0.25,0.12,0.1,97.11
15,76,1.2,0.7,0.4,0.08,0.04,0.04,0.08,0.7,96.76
16,67,1.2,0.8,0.35,0.04,0.15,0.11,0.04,0.5,96.81
17,65,0.8,0.5,0.4,0.04,0.35,0.11,0.12,0.3,97.38
18,67,0.8,0.6,0.35,0.08,0.25,0.04,0.15,0.1,97.63
19,70,0.8,0.7,0.25,0.12,0.15,0.25,0.04,0.7,96.99
20,65,0.8,0.8,0.15,0.15,0.04,0.18,0.08,0.5,97.3
21,92,0.93,0.5,0.4,0.08,0.25,0.25,0.04,0.5,97.05
22,71,0.93,0.6,0.35,0.04,0.35,0.18,0.08,0.7,96.77
23,76,0.93,0.7,0.25,0.15,0.04,0.11,0.12,0.1,97.6
24,71,0.93,0.8,0.15,0.12,0.15,0.04,0.15,0.3,97.36
25,48,1.07,0.5,0.35,0.12,0.04,0.11,0.15,0.7,96.96
26,82,1.07,0.6,0.4,0.15,0.15,0.04,0.12,0.5,96.97
27,57,1.07,0.7,0.15,0.04,0.25,0.25,0.08,0.3,97.16
28,53,1.07,0.8,0.25,0.08,0.35,0.18,0.04,0.1,97.13
29,50,1.2,0.5,0.35,0.15,0.15,0.25,0.08,0.1,97.22
30,78,1.2,0.6,0.4,0.12,0.04,0.18,0.04,0.3,97.12
31,51,1.2,0.7,0.15,0.08,0.35,0.11,0.15,0.5,96.76
32,71,1.2,0.8,0.25,0.04,0.25,0.04,0.12,0.7,96.6
33,74,1.1,0.8,0.4,0.15,0.35,0.15,0.05,0.3,96.7
34,62,1.0,0.8,0.4,0.15,0.35,0.25,0.05,0.3,96.7
35,60,1.1,0.5,0.4,0.05,0.25,0.25,0.05,0.6,96.8
36,72,1.0,0.8,0.4,0.05,0.25,0.25,0.05,0.5,96.7
37,55,1.0,0.8,0.4,0.05,0.35,0.25,0.05,0.4,96.7
38,63,0.9,0.8,0.4,0.05,0.35,0.25,0.05,0.3,96.9
39,62,1.1,0.5,0.4,0.05,0.35,0.15,0.05,0.6,96.8
40,66,1.0,0.8,0.4,0.15,0.25,0.25,0.05,0.3,96.8
41,67,1.1,0.8,0.4,0.15,0.05,0.25,0.05,0.6,96.6
42,45,1.1,0.8,0.4,0.15,0.15,0.25,0.05,0.5,96.6
43,57,1.1,0.4,0.4,0.15,0.35,0.15,0.05,0.6,96.8
44,68,1.1,0.8,0.4,0.05,0.35,0.15,0.05,0.4,96.7
45,60,1.0,0.7,0.4,0.15,0.25,0.05,0.05,0.3,97.1
46,56,1.0,0.6,0.4,0.15,0.25,0.05,0.05,0.3,97.2
47,52,1.0,0.7,0.4,0.15,0.25,0.05,0.05,0.2,97.2
48,52,1.0,0.6,0.4,0.15,0.25,0.05,0.05,0.4,97.1
49,55,1.0,0.8,0.4,0.15,0.25,0.05,0.05,0.2,97.1
50,52,0.9,0.7,0.4,0.15,0.25,0.05,0.05,0.2,97.3
51,55,1.0,0.7,0.4,0.15,0.35,0.05,0.05,0.2,97.1
52,43,0.9,0.8,0.4,0.15,0.25,0.05,0.05,0.2,97.2
53,44,0.9,0.4,0.4,0.05,0.25,0.25,0.05,0.5,97.2
54,48,0.9,0.4,0.4,0.05,0.25,0.25,0.05,0.4,97.3
55,59,0.8,0.4,0.4,0.05,0.25,0.25,0.05,0.4,97.4
56,43,0.8,0.4,0.4,0.05,0.25,0.25,0.05,0.5,97.3
57,47,1.2,0.4,0.3,0.15,0.15,0.25,0.05,0.1,97.4
58,30,1.1,0.4,0.3,0.15,0.15,0.25,0.05,0.1,97.5
59,53,0.8,0.7,0.3,0.15,0.25,0.15,0.15,0.5,97.0
60,39,0.8,0.7,0.4,0.15,0.25,0.15,0.15,0.4,97.0
61,56,1.0,0.4,0.4,0.05,0.25,0.25,0.05,0.5,97.1
62,36,1.0,0.4,0.4,0.05,0.25,0.25,0.05,0.4,97.2
63,65,1.2,0.6,0.4,0.15,0.35,0.25,0.05,0.4,96.6
64,65,1.2,0.6,0.2,0.05,0.35,0.15,0.15,0.5,96.8
65,49,1.1,0.4,0.2,0.15,0.05,0.25,0.05,0.1,97.7
66,57,1.0,0.4,0.4,0.15,0.25,0.25,0.05,0.3,97.2
67,54,1.2,0.4,0.3,0.15,0.25,0.25,0.05,0.4,97.0
68,57,1.0,0.5,0.4,0.15,0.15,0.25,0.15,0.4,97.0
69,51,0.8,0.4,0.3,0.05,0.35,0.25,0.15,0.6,97.1
70,56,0.8,0.5,0.3,0.15,0.05,0.05,0.05,0.2,97.9
71,62,0.9,0.7,0.2,0.05,0.25,0.05,0.05,0.4,97.4
72,64,1.2,0.8,0.15,0.05,0.25,0.25,0.15,0.7,96.45
73,60,1.2,0.7,0.3,0.05,0.05,0.05,0.05,0.3,97.3
74,60,0.9,0.6,0.3,0.15,0.15,0.05,0.05,0.5,97.3
75,55,0.9,0.6,0.4,0.15,0.05,0.05,0.05,0.6,97.2
76,56,0.9,0.5,0.3,0.05,0.15,0.05,0.05,0.7,97.3
77,77,1.0,0.8,0.4,0.15,0.25,0.05,0.05,0.3,97.0
78,67,1.0,0.8,0.4,0.15,0.35,0.05,0.05,0.2,97.0
79,73,1.0,0.8,0.4,0.15,0.25,0.05,0.05,0.2,97.1
80,67,1.0,0.8,0.4,0.15,0.35,0.05,0.05,0.3,96.9
81,59,1.0,0.5,0.4,0.15,0.25,0.15,0.05,0.5,97.0
82,55,1.0,0.4,0.4,0.15,0.25,0.25,0.05,0.5,97.0
83,64,1.0,0.6,0.4,0.05,0.25,0.25,0.05,0.4,97.0
84,52,1.0,0.4,0.4,0.15,0.35,0.25,0.05,0.4,97.0
85,51,1.0,0.4,0.4,0.05,0.25,0.25,0.05,0.4,97.2
86,54,1.0,0.4,0.4,0.05,0.35,0.25,0.05,0.4,97.1
87,51,0.9,0.4,0.4,0.15,0.25,0.25,0.05,0.5,97.1
88,52,1.0,0.4,0.4,0.05,0.15,0.25,0.05,0.5,97.2
89,51,1.0,0.4,0.4,0.15,0.05,0.15,0.05,0.1,97.7
90,58,1.0,0.4,0.4,0.15,0.25,0.15,0.05,0.3,97.3
91,55,1.0,0.4,0.4,0.15,0.05,0.15,0.05,0.4,97.4
92,46,1.0,0.4,0.4,0.15,0.25,0.15,0.05,0.2,97.4
93,63,0.8,0.7,0.15,0.05,0.25,0.15,0.15,0.7,97.05
94,56,1.0,0.6,0.2,0.05,0.35,0.05,0.15,0.1,97.5
95,52,1.0,0.4,0.4,0.05,0.25,0.25,0.05,0.5,97.1
96,57,1.0,0.4,0.4,0.15,0.25,0.25,0.05,0.3,97.2
97,60,1.1,0.6,0.4,0.15,0.35,0.05,0.05,0.7,96.6
98,57,1.1,0.5,0.4,0.15,0.35,0.05,0.05,0.7,96.7
99,60,1.0,0.6,0.4,0.15,0.35,0.05,0.05,0.7,96.7
100,55,1.0,0.6,0.3,0.15,0.35,0.05,0.05,0.7,96.8
101,52,1.0,0.5,0.4,0.15,0.25,0.05,0.05,0.6,97.0
102,59,1.1,0.5,0.4,0.15,0.35,0.05,0.15,0.7,96.6
103,59,1.0,0.6,0.4,0.15,0.35,0.05,0.05,0.6,96.8
104,56,1.0,0.5,0.3,0.15,0.25,0.05,0.05,0.7,97.0
105,46,1.0,0.5,0.4,0.05,0.25,0.05,0.05,0.7,97.0
106,54,1.0,0.5,0.4,0.15,0.35,0.05,0.05,0.7,96.8
107,51,1.0,0.6,0.4,0.15,0.25,0.05,0.05,0.7,96.8
108,58,1.0,0.5,0.3,0.15,0.35,0.05,0.05,0.7,96.9
109,51,1.0,0.5,0.4,0.15,0.25,0.05,0.05,0.7,96.9
110,58,0.9,0.6,0.4,0.15,0.15,0.05,0.05,0.7,97.0
111,61,1.0,0.6,0.4,0.05,0.35,0.05,0.05,0.7,96.8
112,57,0.9,0.5,0.4,0.15,0.25,0.05,0.05,0.5,97.2
113,52,1.0,0.5,0.4,0.15,0.25,0.05,0.15,0.7,96.8
114,61,1.0,0.5,0.3,0.05,0.35,0.05,0.05,0.7,97.0
115,53,0.9,0.5,0.4,0.05,0.25,0.05,0.05,0.7,97.1
116,62,0.9,0.5,0.2,0.15,0.25,0.05,0.05,0.7,97.2
117,54,1.0,0.5,0.4,0.15,0.35,0.05,0.05,0.6,96.9
118,63,0.9,0.5,0.4,0.15,0.25,0.05,0.15,0.6,97.0
119,59,1.0,0.5,0.4,0.15,0.35,0.05,0.15,0.6,96.8
120,54,0.9,0.5,0.4,0.15,0.25,0.05,0.15,0.5,97.1
121,59,1.0,0.6,0.4,0.05,0.35,0.15,0.05,0.3,97.1
122,57,1.0,0.6,0.4,0.05,0.25,0.25,0.05,0.6,96.8
123,60,1.0,0.5,0.3,0.15,0.25,0.15,0.05,0.5,97.1
124,51,0.9,0.5,0.3,0.05,0.25,0.25,0.05,0.6,97.1
125,65,0.9,0.5,0.4,0.05,0.25,0.15,0.05,0.6,97.1
126,64,0.9,0.5,0.3,0.05,0.15,0.25,0.05,0.7,97.1
127,54,0.8,0.5,0.4,0.05,0.15,0.25,0.05,0.7,97.1
128,58,1.1,0.5,0.4,0.05,0.25,0.25,0.05,0.3,97.1
129,39,1.0,0.6,0.34,0.12,0.27,0.04,0.04,0.4,97.19
130,37,1.0,0.7,0.34,0.12,0.27,0.04,0.04,0.4,97.09
131,41,1.0,0.6,0.34,0.1,0.27,0.04,0.04,0.55,97.06
132,49,1.0,0.7,0.34,0.1,0.27,0.04,0.04,0.55,96.96
133,38,1.0,0.7,0.34,0.1,0.27,0.04,0.04,0.4,97.11
134,45,1.0,0.6,0.34,0.1,0.27,0.04,0.04,0.4,97.21
135,51,1.0,0.6,0.34,0.12,0.27,0.04,0.04,0.55,97.04
136,46,1.0,0.7,0.34,0.12,0.27,0.04,0.04,0.55,96.94
137,46,0.9,0.6,0.34,0.12,0.27,0.04,0.04,0.55,97.14
138,52,1.0,0.7,0.34,0.07,0.27,0.04,0.04,0.55,96.99
139,45,1.0,0.6,0.34,0.07,0.27,0.04,0.04,0.55,97.09
140,48,1.1,0.6,0.34,0.07,0.27,0.04,0.04,0.4,97.14
141,45,0.9,0.6,0.34,0.1,0.27,0.04,0.04,0.55,97.16
142,43,1.1,0.7,0.34,0.12,0.27,0.04,0.04,0.4,96.99
143,50,1.1,0.7,0.34,0.1,0.27,0.04,0.04,0.4,97.01
144,47,1.1,0.6,0.34,0.12,0.27,0.04,0.04,0.4,97.09
145,42,1.0,0.6,0.34,0.07,0.27,0.04,0.04,0.4,97.24
146,54,1.1,0.6,0.34,0.1,0.27,0.04,0.04,0.4,97.11
147,35,1.0,0.6,0.34,0.04,0.27,0.04,0.04,0.55,97.12
148,48,1.1,0.6,0.34,0.1,0.27,0.04,0.04,0.55,96.96
149,45,1.0,0.5,0.34,0.12,0.27,0.04,0.04,0.55,97.14
150,41,1.1,0.7,0.34,0.12,0.27,0.04,0.04,0.25,97.14
151,47,1.0,0.6,0.34,0.1,0.19,0.04,0.04,0.55,97.14
152,53,1.0,0.6,0.34,0.12,0.19,0.04,0.04,0.55,97.12
153,53,1.1,0.7,0.34,0.07,0.27,0.04,0.04,0.4,97.04
154,54,1.1,0.6,0.34,0.12,0.27,0.04,0.04,0.55,96.94
